Event,Date⇩,Event,Venue,Competitors,url,track_name,race_country
1998 Grundig UCI World Cup DH #5,28th Jul 1998,1998 Grundig UCI World Cup DH #5,"Snoqualmie Pass, WA, USA",95,https://www.rootsandrain.com/event852/1998-jul-28-grundig-uci-world-cup-dh-5-snoqualmie-pass-wa/,Snoqualmie Pass, USA
1998 Grundig UCI World Cup DH #4,21st Jun 1998,1998 Grundig UCI World Cup DH #4,"Big Bear Lake, CA, USA",95,https://www.rootsandrain.com/event851/1998-jun-21-grundig-uci-world-cup-dh-4-big-bear-lake-ca/,Big Bear Lake, USA
1998 Grundig UCI World Cup DH #3,31st May 1998,1998 Grundig UCI World Cup DH #3,"Les Gets, France",95,https://www.rootsandrain.com/event850/1998-may-31-grundig-uci-world-cup-dh-3-les-gets/,Les Gets, France
1998 Grundig UCI World Cup DH #2,24th May 1998,1998 Grundig UCI World Cup DH #2,"Nevegal, Italy",97,https://www.rootsandrain.com/event849/1998-may-24-grundig-uci-world-cup-dh-2-nevegal/,Nevegal, Italy
1998 Grundig UCI World Cup DH #1,5th Apr 1998,1998 Grundig UCI World Cup DH #1,"Stellenbosch, WC, South Africa",95,https://www.rootsandrain.com/event848/1998-apr-5-grundig-uci-world-cup-dh-1-stellenbosch-wc/,Stellenbosch, South Africa
UCI - DHI World Championships '99,18th Sep 1999,UCI - DHI World Championships '99,"Åre, Sweden",203,https://www.rootsandrain.com/event1448/1999-sep-18-uci-dhi-world-championships-99-are/,Åre, Sweden
1999 Diesel UCI World Cup DH #8,15th Aug 1999,1999 Diesel UCI World Cup DH #8,"Kaprun, Austria",100,https://www.rootsandrain.com/event847/1999-aug-15-diesel-uci-world-cup-dh-8-kaprun/,Kaprun, Austria
1999 Diesel UCI World Cup DH #7,8th Aug 1999,1999 Diesel UCI World Cup DH #7,"Bromont, QC, Canada",94,https://www.rootsandrain.com/event846/1999-aug-8-diesel-uci-world-cup-dh-7-bromont-qc/,Bromont, Canada
1999 Diesel UCI World Cup DH #6,1st Aug 1999,1999 Diesel UCI World Cup DH #6,"Mont-Sainte-Anne, QC, Canada",100,https://www.rootsandrain.com/event845/1999-aug-1-diesel-uci-world-cup-dh-6-mont-sainte-anne-qc/,Mont-Sainte-Anne, Canada
1999 Diesel UCI World Cup DH #5,11th Jul 1999,1999 Diesel UCI World Cup DH #5,"Squaw Valley, CA, USA",97,https://www.rootsandrain.com/event844/1999-jul-11-diesel-uci-world-cup-dh-5-squaw-valley-ca/,Squaw Valley, USA
