Name,Name,Run 1,sex,rider_country,race_country,Date,track_name
Frantisek MRAZEK,Frantisek MRAZEK,6:39.1855,Men,Czech, Germany,23rd Sep 1995,Kirchzarten
Niels-Peter JENSEN,Niels-Peter JENSEN,6:39.4757,Men,German, Germany,23rd Sep 1995,Kirchzarten
Kenichi NABESHIMA,Kenichi NABESHIMA,6:39.7658,Men,Japanese, Germany,23rd Sep 1995,Kirchzarten
Janez GRASIC,Janez GRASIC,6:40.2759,Men,Slovenian, Germany,23rd Sep 1995,Kirchzarten
Tobias PAYENBERG,Tobias PAYENBERG,6:40.8760,Men,German, Germany,23rd Sep 1995,Kirchzarten
Wolfgang GROSS,Wolfgang GROSS,6:40.9061,Men,German, Germany,23rd Sep 1995,Kirchzarten
Marc SCHNYDER,Marc SCHNYDER,6:41.0862,Men,Swiss, Germany,23rd Sep 1995,Kirchzarten
Bobby BLAKE,Bobby BLAKE,6:41.2463,Men,British, Germany,23rd Sep 1995,Kirchzarten
Pipo Matthias PEIER,Pipo Matthias PEIER,6:41.5664,Men,Swiss, Germany,23rd Sep 1995,Kirchzarten
Markus FRÜHWIRTH,Markus FRÜHWIRTH,6:41.7065,Men,Austrian, Germany,23rd Sep 1995,Kirchzarten
Johan FAGERSTRÖM,Johan FAGERSTRÖM,6:41.8066,Men,Swedish, Germany,23rd Sep 1995,Kirchzarten
Filip HAHUS,Filip HAHUS,6:42.3567,Men,Swedish, Germany,23rd Sep 1995,Kirchzarten
Trevor PORTER,Trevor PORTER,6:42.4668,Men,Canadian, Germany,23rd Sep 1995,Kirchzarten
Will LONGDEN,Will LONGDEN,6:42.4969,Men,British, Germany,23rd Sep 1995,Kirchzarten
Sasaki TAKETOSHI,Sasaki TAKETOSHI,6:43.1570,Men,Japanese, Germany,23rd Sep 1995,Kirchzarten
Takuma DAN,Takuma DAN,6:44.1871,Men,Japanese, Germany,23rd Sep 1995,Kirchzarten
Florian DIETRICH,Florian DIETRICH,6:45.4972,Men,German, Germany,23rd Sep 1995,Kirchzarten
Matt MCKENDRY,Matt MCKENDRY,6:45.8873,Men,New Zealand, Germany,23rd Sep 1995,Kirchzarten
Patrick SCOTT,Patrick SCOTT,6:45.8873,Men,Australian, Germany,23rd Sep 1995,Kirchzarten
Jeremy BROWN,Jeremy BROWN,6:45.8975,Men,Canadian, Germany,23rd Sep 1995,Kirchzarten
John VAN DE HATERD,John VAN DE HATERD,6:46.3176,Men,Dutch, Germany,23rd Sep 1995,Kirchzarten
Boris LUDWIG,Boris LUDWIG,6:46.6277,Men,German, Germany,23rd Sep 1995,Kirchzarten
Eddie B-COLLINS,Eddie B-COLLINS,6:47.1078,Men,Irish, Germany,23rd Sep 1995,Kirchzarten
Cyril LAGNEAU,Cyril LAGNEAU,6:48.2479,Men,French, Germany,23rd Sep 1995,Kirchzarten
Tony HELMERSON,Tony HELMERSON,6:49.3780,Men,Swedish, Germany,23rd Sep 1995,Kirchzarten
Christophe GARCIA,Christophe GARCIA,6:49.6781,Men,Belgian, Germany,23rd Sep 1995,Kirchzarten
Pau MISSER,Pau MISSER,6:49.7582,Men,Spanish, Germany,23rd Sep 1995,Kirchzarten
