Name,Name,Run 1,sex,rider_country,race_country,Date,track_name
Crt Bill SLIVNIK,Crt Bill SLIVNIK,DNF,Men,Slovenian, Austria,1st Sep 2002,Kaprun
Filip CILLIK,Filip CILLIK,DNF,Men,Slovakian, Austria,1st Sep 2002,Kaprun
Geoff PENDREL,Geoff PENDREL,DSQ,Men,Canadian, Austria,1st Sep 2002,Kaprun
Artiom GREK,Artiom GREK,DSQ,Men,Russian, Austria,1st Sep 2002,Kaprun
Nuno DUARTE,Nuno DUARTE,DNS,Men,Portuguese, Austria,1st Sep 2002,Kaprun
Aku TUUNAINEN,Aku TUUNAINEN,DNS,Men,Finnish, Austria,1st Sep 2002,Kaprun
Fabien BAREL,Fabien BAREL,DNS,Men,French, Austria,1st Sep 2002,Kaprun
Gabriel BENOIT,Gabriel BENOIT,DNS,Men,Chilean, Austria,1st Sep 2002,Kaprun
Roger GONZALEZ SALVADOR,Roger GONZALEZ SALVADOR,DNS,Men,Spanish, Austria,1st Sep 2002,Kaprun
Petr JOCH,Petr JOCH,DNS,Men,Czech, Austria,1st Sep 2002,Kaprun
Todd LEDUC,Todd LEDUC,DNS,Men,American, Austria,1st Sep 2002,Kaprun
Greg MINNAAR,Greg MINNAAR,DNS,Men,South African, Austria,1st Sep 2002,Kaprun
Johan POSSMAN,Johan POSSMAN,DNS,Men,Swedish, Austria,1st Sep 2002,Kaprun
Anne-Caroline CHAUSSON,Anne-Caroline CHAUSSON,5:45.581,Women,French, Austria,1st Sep 2002,Kaprun
Fionn GRIFFITHS,Fionn GRIFFITHS,5:52.182,Women,British, Austria,1st Sep 2002,Kaprun
Missy GIOVE,Missy GIOVE,5:56.143,Women,American, Austria,1st Sep 2002,Kaprun
Tracy MOSELEY,Tracy MOSELEY,6:00.194,Women,British, Austria,1st Sep 2002,Kaprun
Sabrina JONNIER,Sabrina JONNIER,6:00.355,Women,French, Austria,1st Sep 2002,Kaprun
Marielle SANER,Marielle SANER,6:01.266,Women,Swiss, Austria,1st Sep 2002,Kaprun
Nolvenn LE CAER,Nolvenn LE CAER,6:08.057,Women,French, Austria,1st Sep 2002,Kaprun
Tai-Lee MUXLOW,Tai-Lee MUXLOW,6:09.078,Women,Australian, Austria,1st Sep 2002,Kaprun
Vanessa QUIN,Vanessa QUIN,6:09.449,Women,New Zealand, Austria,1st Sep 2002,Kaprun
Sarah STIEGER,Sarah STIEGER,6:10.9210,Women,Swiss, Austria,1st Sep 2002,Kaprun
Marla STREB,Marla STREB,6:11.4011,Women,American, Austria,1st Sep 2002,Kaprun
Céline GROS,Céline GROS,6:12.8612,Women,French, Austria,1st Sep 2002,Kaprun
Lisa SHER,Lisa SHER,6:13.0713,Women,American, Austria,1st Sep 2002,Kaprun
Arnelie THÉVOZ,Arnelie THÉVOZ,6:13.5214,Women,Swiss, Austria,1st Sep 2002,Kaprun
Petra BERNHARD,Petra BERNHARD,6:15.4215,Women,Austrian, Austria,1st Sep 2002,Kaprun
Kathy PRUITT,Kathy PRUITT,6:19.4416,Women,American, Austria,1st Sep 2002,Kaprun
Mio SUEMASA,Mio SUEMASA,6:21.3417,Women,Japanese, Austria,1st Sep 2002,Kaprun
Anneke BEERTEN,Anneke BEERTEN,6:26.0218,Women,Dutch, Austria,1st Sep 2002,Kaprun
Sandra WALKER,Sandra WALKER,6:30.1619,Women,Swiss, Austria,1st Sep 2002,Kaprun
Melissa BUHL,Melissa BUHL,6:31.0220,Women,American, Austria,1st Sep 2002,Kaprun
Helen GASKELL,Helen GASKELL,6:31.5821,Women,British, Austria,1st Sep 2002,Kaprun
Anita MOLCIK,Anita MOLCIK,6:37.1422,Women,Austrian, Austria,1st Sep 2002,Kaprun
Miriam BLAS OTONDO,Miriam BLAS OTONDO,6:37.8623,Women,Spanish, Austria,1st Sep 2002,Kaprun
Michelle DUMARESQ,Michelle DUMARESQ,6:40.2824,Women,Canadian, Austria,1st Sep 2002,Kaprun
Maxine IRVING,Maxine IRVING,6:43.8325,Women,American, Austria,1st Sep 2002,Kaprun
Mami MASUDA,Mami MASUDA,6:46.7526,Women,Japanese, Austria,1st Sep 2002,Kaprun
Talitha FITZGERALD,Talitha FITZGERALD,6:51.4527,Women,Australian, Austria,1st Sep 2002,Kaprun
Sylvie ALLEN,Sylvie ALLEN,6:54.3528,Women,Canadian, Austria,1st Sep 2002,Kaprun
Katarina SISKOVA,Katarina SISKOVA,6:58.3429,Women,Slovakian, Austria,1st Sep 2002,Kaprun
Dalma KISS,Dalma KISS,7:02.8230,Women,Hungarian, Austria,1st Sep 2002,Kaprun
Claire BUCHAR,Claire BUCHAR,7:09.3531,Women,Canadian, Austria,1st Sep 2002,Kaprun
Bohdana PULPANOVA,Bohdana PULPANOVA,7:10.0432,Women,Czech, Austria,1st Sep 2002,Kaprun
Sheila MORRIS,Sheila MORRIS,7:23.7933,Women,Canadian, Austria,1st Sep 2002,Kaprun
Sonja GRANZOW,Sonja GRANZOW,7:24.6034,Women,German, Austria,1st Sep 2002,Kaprun
Helena BOSKOVA,Helena BOSKOVA,7:38.3235,Women,Slovakian, Austria,1st Sep 2002,Kaprun
Cassidy JOHNSON,Cassidy JOHNSON,7:40.4936,Women,Canadian, Austria,1st Sep 2002,Kaprun
April LAWYER,April LAWYER,DNF,Women,American, Austria,1st Sep 2002,Kaprun
Jo PONTING,Jo PONTING,DNS,Women,British, Austria,1st Sep 2002,Kaprun
Anja JERENKO,Anja JERENKO,DNS,Women,German, Austria,1st Sep 2002,Kaprun
Steve PEAT,Steve PEAT,2:01.811,Men,British, USA,14th Jul 2002,Telluride
Fabien BAREL,Fabien BAREL,2:01.962,Men,French, USA,14th Jul 2002,Telluride
Cyril LAGNEAU,Cyril LAGNEAU,2:02.523,Men,French, USA,14th Jul 2002,Telluride
Dustin ADAMS,Dustin ADAMS,2:02.934,Men,Canadian, USA,14th Jul 2002,Telluride
Mick HANNAH,Mick HANNAH,2:03.015,Men,Australian, USA,14th Jul 2002,Telluride
Cédric GRACIA,Cédric GRACIA,2:03.216,Men,French, USA,14th Jul 2002,Telluride
Mickael PASCAL,Mickael PASCAL,2:03.267,Men,French, USA,14th Jul 2002,Telluride
John WADDELL,John WADDELL,2:03.768,Men,Australian, USA,14th Jul 2002,Telluride
Julien POOMANS,Julien POOMANS,2:04.739,Men,French, USA,14th Jul 2002,Telluride
Ivan OULEGO MORENO,Ivan OULEGO MORENO,2:04.7710,Men,Spanish, USA,14th Jul 2002,Telluride
Jared GRAVES,Jared GRAVES,2:05.2011,Men,Australian, USA,14th Jul 2002,Telluride
Greg MINNAAR,Greg MINNAAR,2:05.2512,Men,South African, USA,14th Jul 2002,Telluride
Bas DE BEVER,Bas DE BEVER,2:05.6413,Men,Dutch, USA,14th Jul 2002,Telluride
Crawford CARRICK-ANDERSON,Crawford CARRICK-ANDERSON,2:05.7714,Men,British, USA,14th Jul 2002,Telluride
Jared RANDO,Jared RANDO,2:05.9115,Men,Australian, USA,14th Jul 2002,Telluride
Bernat GUÀRDIA PASCUAL,Bernat GUÀRDIA PASCUAL,2:06.0316,Men,Spanish, USA,14th Jul 2002,Telluride
Sam HILL (elt),Sam HILL (elt),2:06.5817,Men,Australian, USA,14th Jul 2002,Telluride
Michal MAROŠI (1978),Michal MAROŠI (1978),2:06.8418,Men,Czech, USA,14th Jul 2002,Telluride
Markolf BERCHTOLD,Markolf BERCHTOLD,2:07.2919,Men,Brazilian, USA,14th Jul 2002,Telluride
Cesar ROJO VIDAL,Cesar ROJO VIDAL,2:07.5120,Men,Spanish, USA,14th Jul 2002,Telluride
Chris KOVARIK,Chris KOVARIK,2:08.2621,Men,Australian, USA,14th Jul 2002,Telluride
Oscar SAIZ,Oscar SAIZ,2:08.3822,Men,Spanish, USA,14th Jul 2002,Telluride
Julien CAMELLINI,Julien CAMELLINI,2:08.5623,Men,French, USA,14th Jul 2002,Telluride
David VAZQUEZ LOPEZ,David VAZQUEZ LOPEZ,2:08.8424,Men,Spanish, USA,14th Jul 2002,Telluride
Eric CARTER,Eric CARTER,2:09.3325,Men,American, USA,14th Jul 2002,Telluride
Damien MERMOUD,Damien MERMOUD,2:10.2226,Men,Swiss, USA,14th Jul 2002,Telluride
Sean MCCARROLL,Sean MCCARROLL,2:10.3527,Men,Australian, USA,14th Jul 2002,Telluride
Frank SCHNEIDER,Frank SCHNEIDER,2:10.6728,Men,German, USA,14th Jul 2002,Telluride
David MCLAUGHLIN,David MCLAUGHLIN,2:10.7529,Men,Australian, USA,14th Jul 2002,Telluride
Justin HAVUKAINEN,Justin HAVUKAINEN,2:10.8530,Men,Australian, USA,14th Jul 2002,Telluride
David KLAASSEN VAN OORSCHOT,David KLAASSEN VAN OORSCHOT,2:11.1731,Men,American, USA,14th Jul 2002,Telluride
Will LONGDEN,Will LONGDEN,2:12.3932,Men,British, USA,14th Jul 2002,Telluride
Rich HOUSEMAN,Rich HOUSEMAN,2:12.5033,Men,American, USA,14th Jul 2002,Telluride
Chris O'DRISCOLL,Chris O'DRISCOLL,2:12.7534,Men,American, USA,14th Jul 2002,Telluride
Joshua PRATER,Joshua PRATER,2:13.1835,Men,American, USA,14th Jul 2002,Telluride
Dan ATHERTON,Dan ATHERTON,2:13.3436,Men,British, USA,14th Jul 2002,Telluride
Marc BEAUMONT,Marc BEAUMONT,2:13.4737,Men,British, USA,14th Jul 2002,Telluride
Bryn ATKINSON,Bryn ATKINSON,2:14.0238,Men,Australian, USA,14th Jul 2002,Telluride
Geoff PENDREL,Geoff PENDREL,2:15.5339,Men,Canadian, USA,14th Jul 2002,Telluride
Naoki IDEGAWA,Naoki IDEGAWA,2:15.7540,Men,Japanese, USA,14th Jul 2002,Telluride
Luke STROM,Luke STROM,2:15.8841,Men,Australian, USA,14th Jul 2002,Telluride
Myles ROCKWELL,Myles ROCKWELL,2:15.9842,Men,American, USA,14th Jul 2002,Telluride
William CORRY,William CORRY,2:16.4643,Men,Irish, USA,14th Jul 2002,Telluride
Gary HOUSEMAN,Gary HOUSEMAN,2:16.4744,Men,American, USA,14th Jul 2002,Telluride
Alex MORGAN,Alex MORGAN,2:16.7545,Men,American, USA,14th Jul 2002,Telluride
Bernie FREDRICK,Bernie FREDRICK,2:17.1946,Men,American, USA,14th Jul 2002,Telluride
Lars TRIBUS,Lars TRIBUS,2:17.1946,Men,American, USA,14th Jul 2002,Telluride
Nate ADAMS,Nate ADAMS,2:17.5348,Men,American, USA,14th Jul 2002,Telluride
Todd LEDUC,Todd LEDUC,2:18.0549,Men,American, USA,14th Jul 2002,Telluride
Daniel AUERSWALD,Daniel AUERSWALD,2:18.1050,Men,German, USA,14th Jul 2002,Telluride
Robin BALOOCHI,Robin BALOOCHI,2:18.2051,Men,American, USA,14th Jul 2002,Telluride
Claudio CALUORI,Claudio CALUORI,2:18.3252,Men,Swiss, USA,14th Jul 2002,Telluride
Glenn HADEN,Glenn HADEN,2:18.3853,Men,New Zealand, USA,14th Jul 2002,Telluride
Hugo DONAIS,Hugo DONAIS,2:18.6454,Men,Canadian, USA,14th Jul 2002,Telluride
Todd BOSCH,Todd BOSCH,2:18.7155,Men,American, USA,14th Jul 2002,Telluride
Ferran MARIAS SORRIBES,Ferran MARIAS SORRIBES,2:19.1356,Men,Spanish, USA,14th Jul 2002,Telluride
James DODDS,James DODDS,2:20.1357,Men,New Zealand, USA,14th Jul 2002,Telluride
Mark WEIR,Mark WEIR,2:20.2158,Men,American, USA,14th Jul 2002,Telluride
Waylon SMITH,Waylon SMITH,2:21.2959,Men,British, USA,14th Jul 2002,Telluride
Frederic BELANGER,Frederic BELANGER,2:21.9160,Men,Canadian, USA,14th Jul 2002,Telluride
Marco Aurélio SILVA FIDALGO,Marco Aurélio SILVA FIDALGO,2:22.5561,Men,Portuguese, USA,14th Jul 2002,Telluride
Mike Mihai MOGA,Mike Mihai MOGA,2:23.0462,Men,Romanian, USA,14th Jul 2002,Telluride
David WARDELL,David WARDELL,2:27.9363,Men,British, USA,14th Jul 2002,Telluride
Trevor PORTER,Trevor PORTER,2:28.0264,Men,Canadian, USA,14th Jul 2002,Telluride
Kyle EBBETT,Kyle EBBETT,2:28.2965,Men,American, USA,14th Jul 2002,Telluride
Vincent MARCOTTE,Vincent MARCOTTE,2:36.1366,Men,Canadian, USA,14th Jul 2002,Telluride
Rob WARNER,Rob WARNER,2:39.5167,Men,British, USA,14th Jul 2002,Telluride
John KIRKCALDIE,John KIRKCALDIE,2:57.8168,Men,New Zealand, USA,14th Jul 2002,Telluride
Nathan RENNIE,Nathan RENNIE,DNF,Men,Australian, USA,14th Jul 2002,Telluride
Ben CORY,Ben CORY,DNF,Men,Australian, USA,14th Jul 2002,Telluride
Mathieu LAURIN,Mathieu LAURIN,DNF,Men,Canadian, USA,14th Jul 2002,Telluride
Andre BEATO,Andre BEATO,DNF,Men,Portuguese, USA,14th Jul 2002,Telluride
Nathan RANKIN,Nathan RANKIN,DSQ,Men,New Zealand, USA,14th Jul 2002,Telluride
Colin BAILEY,Colin BAILEY,DNS,Men,American, USA,14th Jul 2002,Telluride
Ted TEMPANY,Ted TEMPANY,DNS,Men,Canadian, USA,14th Jul 2002,Telluride
Scott BEAUMONT,Scott BEAUMONT,DNQ,Men,British, USA,14th Jul 2002,Telluride
Jason CODDING,Jason CODDING,DNQ,Men,American, USA,14th Jul 2002,Telluride
Nicholas HUTCHINSON,Nicholas HUTCHINSON,DNQ,Men,South African, USA,14th Jul 2002,Telluride
Richard LANCASTER,Richard LANCASTER,DNQ,Men,American, USA,14th Jul 2002,Telluride
Filip POLC,Filip POLC,DNQ,Men,Slovakian, USA,14th Jul 2002,Telluride
Kirt VOREIS,Kirt VOREIS,DNQ,Men,American, USA,14th Jul 2002,Telluride
Anne-Caroline CHAUSSON,Anne-Caroline CHAUSSON,2:21.731,Women,French, USA,14th Jul 2002,Telluride
Sabrina JONNIER,Sabrina JONNIER,2:22.232,Women,French, USA,14th Jul 2002,Telluride
Marielle SANER,Marielle SANER,2:22.243,Women,Swiss, USA,14th Jul 2002,Telluride
Missy GIOVE,Missy GIOVE,2:22.804,Women,American, USA,14th Jul 2002,Telluride
Tracy MOSELEY,Tracy MOSELEY,2:23.575,Women,British, USA,14th Jul 2002,Telluride
Kathy PRUITT,Kathy PRUITT,2:25.356,Women,American, USA,14th Jul 2002,Telluride
Marla STREB,Marla STREB,2:26.437,Women,American, USA,14th Jul 2002,Telluride
Fionn GRIFFITHS,Fionn GRIFFITHS,2:26.618,Women,British, USA,14th Jul 2002,Telluride
April LAWYER,April LAWYER,2:28.909,Women,American, USA,14th Jul 2002,Telluride
Melissa BUHL,Melissa BUHL,2:29.2910,Women,American, USA,14th Jul 2002,Telluride
Sandra WALKER,Sandra WALKER,2:30.6111,Women,Swiss, USA,14th Jul 2002,Telluride
Céline GROS,Céline GROS,2:30.6412,Women,French, USA,14th Jul 2002,Telluride
Arnelie THÉVOZ,Arnelie THÉVOZ,2:30.8013,Women,Swiss, USA,14th Jul 2002,Telluride
Nolvenn LE CAER,Nolvenn LE CAER,2:33.9214,Women,French, USA,14th Jul 2002,Telluride
Diana MARGGRAFF,Diana MARGGRAFF,2:34.5715,Women,Ecuadorian, USA,14th Jul 2002,Telluride
Maxine IRVING,Maxine IRVING,2:34.7016,Women,American, USA,14th Jul 2002,Telluride
Helen GASKELL,Helen GASKELL,2:34.7617,Women,British, USA,14th Jul 2002,Telluride
Cassandra BOON,Cassandra BOON,2:35.3518,Women,Canadian, USA,14th Jul 2002,Telluride
Vanessa QUIN,Vanessa QUIN,2:35.6219,Women,New Zealand, USA,14th Jul 2002,Telluride
Mio SUEMASA,Mio SUEMASA,2:35.7120,Women,Japanese, USA,14th Jul 2002,Telluride
Lisa SHER,Lisa SHER,2:36.5521,Women,American, USA,14th Jul 2002,Telluride
Pascaline REUSSER,Pascaline REUSSER,2:37.6522,Women,Swiss, USA,14th Jul 2002,Telluride
Gale DAHLAGER,Gale DAHLAGER,2:40.2323,Women,American, USA,14th Jul 2002,Telluride
Anka MARTIN,Anka MARTIN,2:55.5824,Women,South African, USA,14th Jul 2002,Telluride
Lisa-Ann HORLOR,Lisa-Ann HORLOR,DNF,Women,New Zealand, USA,14th Jul 2002,Telluride
Rachel LLOYD,Rachel LLOYD,DNQ,Women,American, USA,14th Jul 2002,Telluride
Tai-Lee MUXLOW,Tai-Lee MUXLOW,DNQ,Women,Australian, USA,14th Jul 2002,Telluride
Steve PEAT,Steve PEAT,5:09.671,Men,British, Canada,30th Jun 2002,Mont-Sainte-Anne
Cédric GRACIA,Cédric GRACIA,5:13.552,Men,French, Canada,30th Jun 2002,Mont-Sainte-Anne
Greg MINNAAR,Greg MINNAAR,5:18.273,Men,South African, Canada,30th Jun 2002,Mont-Sainte-Anne
Claudio CALUORI,Claudio CALUORI,5:18.594,Men,Swiss, Canada,30th Jun 2002,Mont-Sainte-Anne
Oscar SAIZ,Oscar SAIZ,5:19.035,Men,Spanish, Canada,30th Jun 2002,Mont-Sainte-Anne
Nathan RANKIN,Nathan RANKIN,5:20.836,Men,New Zealand, Canada,30th Jun 2002,Mont-Sainte-Anne
Sean MCCARROLL,Sean MCCARROLL,5:21.007,Men,Australian, Canada,30th Jun 2002,Mont-Sainte-Anne
Mickael PASCAL,Mickael PASCAL,5:22.158,Men,French, Canada,30th Jun 2002,Mont-Sainte-Anne
Chris KOVARIK,Chris KOVARIK,5:22.759,Men,Australian, Canada,30th Jun 2002,Mont-Sainte-Anne
Todd LEDUC,Todd LEDUC,5:23.4610,Men,American, Canada,30th Jun 2002,Mont-Sainte-Anne
Mick HANNAH,Mick HANNAH,5:23.8011,Men,Australian, Canada,30th Jun 2002,Mont-Sainte-Anne
David VAZQUEZ LOPEZ,David VAZQUEZ LOPEZ,5:23.8812,Men,Spanish, Canada,30th Jun 2002,Mont-Sainte-Anne
Julien CAMELLINI,Julien CAMELLINI,5:24.1813,Men,French, Canada,30th Jun 2002,Mont-Sainte-Anne
John KIRKCALDIE,John KIRKCALDIE,5:24.6714,Men,New Zealand, Canada,30th Jun 2002,Mont-Sainte-Anne
Eric CARTER,Eric CARTER,5:25.5715,Men,American, Canada,30th Jun 2002,Mont-Sainte-Anne
Jared GRAVES,Jared GRAVES,5:25.7316,Men,Australian, Canada,30th Jun 2002,Mont-Sainte-Anne
Bernat GUÀRDIA PASCUAL,Bernat GUÀRDIA PASCUAL,5:25.7917,Men,Spanish, Canada,30th Jun 2002,Mont-Sainte-Anne
Nathan RENNIE,Nathan RENNIE,5:25.9218,Men,Australian, Canada,30th Jun 2002,Mont-Sainte-Anne
Markolf BERCHTOLD,Markolf BERCHTOLD,5:26.2819,Men,Brazilian, Canada,30th Jun 2002,Mont-Sainte-Anne
Michal MAROŠI (1978),Michal MAROŠI (1978),5:26.6120,Men,Czech, Canada,30th Jun 2002,Mont-Sainte-Anne
Cyril LAGNEAU,Cyril LAGNEAU,5:27.0421,Men,French, Canada,30th Jun 2002,Mont-Sainte-Anne
Rob WARNER,Rob WARNER,5:28.6822,Men,British, Canada,30th Jun 2002,Mont-Sainte-Anne
Sam HILL (elt),Sam HILL (elt),5:28.8223,Men,Australian, Canada,30th Jun 2002,Mont-Sainte-Anne
Myles ROCKWELL,Myles ROCKWELL,5:29.3824,Men,American, Canada,30th Jun 2002,Mont-Sainte-Anne
Dustin ADAMS,Dustin ADAMS,5:29.8725,Men,Canadian, Canada,30th Jun 2002,Mont-Sainte-Anne
Crawford CARRICK-ANDERSON,Crawford CARRICK-ANDERSON,5:31.8926,Men,British, Canada,30th Jun 2002,Mont-Sainte-Anne
Cesar ROJO VIDAL,Cesar ROJO VIDAL,5:31.9027,Men,Spanish, Canada,30th Jun 2002,Mont-Sainte-Anne
Damien MERMOUD,Damien MERMOUD,5:32.0228,Men,Swiss, Canada,30th Jun 2002,Mont-Sainte-Anne
Jared RANDO,Jared RANDO,5:33.1229,Men,Australian, Canada,30th Jun 2002,Mont-Sainte-Anne
Michael JONES,Michael JONES,5:35.1430,Men,Canadian, Canada,30th Jun 2002,Mont-Sainte-Anne
Guido TSCHUGG,Guido TSCHUGG,5:36.0331,Men,German, Canada,30th Jun 2002,Mont-Sainte-Anne
Mathieu LAURIN,Mathieu LAURIN,5:36.0532,Men,Canadian, Canada,30th Jun 2002,Mont-Sainte-Anne
John WADDELL,John WADDELL,5:36.8633,Men,Australian, Canada,30th Jun 2002,Mont-Sainte-Anne
Ben CORY,Ben CORY,5:37.0034,Men,Australian, Canada,30th Jun 2002,Mont-Sainte-Anne
Dan ATHERTON,Dan ATHERTON,5:37.2735,Men,British, Canada,30th Jun 2002,Mont-Sainte-Anne
Kirt VOREIS,Kirt VOREIS,5:38.3536,Men,American, Canada,30th Jun 2002,Mont-Sainte-Anne
Trevor PORTER,Trevor PORTER,5:38.4937,Men,Canadian, Canada,30th Jun 2002,Mont-Sainte-Anne
Bas DE BEVER,Bas DE BEVER,5:39.5338,Men,Dutch, Canada,30th Jun 2002,Mont-Sainte-Anne
Colin BAILEY,Colin BAILEY,5:40.0439,Men,American, Canada,30th Jun 2002,Mont-Sainte-Anne
Brant LYON,Brant LYON,5:40.5640,Men,Canadian, Canada,30th Jun 2002,Mont-Sainte-Anne
Filip POLC,Filip POLC,5:41.5641,Men,Slovakian, Canada,30th Jun 2002,Mont-Sainte-Anne
David WARDELL,David WARDELL,5:42.3842,Men,British, Canada,30th Jun 2002,Mont-Sainte-Anne
Bryn ATKINSON,Bryn ATKINSON,5:42.4743,Men,Australian, Canada,30th Jun 2002,Mont-Sainte-Anne
Rohan GEARING,Rohan GEARING,5:42.5944,Men,Australian, Canada,30th Jun 2002,Mont-Sainte-Anne
Scott BEAUMONT,Scott BEAUMONT,5:43.0445,Men,British, Canada,30th Jun 2002,Mont-Sainte-Anne
Rick BOYER,Rick BOYER,5:43.5646,Men,Australian, Canada,30th Jun 2002,Mont-Sainte-Anne
Julien POOMANS,Julien POOMANS,5:44.3947,Men,French, Canada,30th Jun 2002,Mont-Sainte-Anne
Naoki IDEGAWA,Naoki IDEGAWA,5:44.4048,Men,Japanese, Canada,30th Jun 2002,Mont-Sainte-Anne
Fabien BAREL,Fabien BAREL,5:45.6449,Men,French, Canada,30th Jun 2002,Mont-Sainte-Anne
David MCLAUGHLIN,David MCLAUGHLIN,5:45.9450,Men,Australian, Canada,30th Jun 2002,Mont-Sainte-Anne
Marc BEAUMONT,Marc BEAUMONT,5:47.6751,Men,British, Canada,30th Jun 2002,Mont-Sainte-Anne
Andy YOONG,Andy YOONG,5:50.4252,Men,Irish, Canada,30th Jun 2002,Mont-Sainte-Anne
Will LONGDEN,Will LONGDEN,5:50.6353,Men,British, Canada,30th Jun 2002,Mont-Sainte-Anne
Olivier MARKON,Olivier MARKON,5:51.5554,Men,Canadian, Canada,30th Jun 2002,Mont-Sainte-Anne
Jesse WHITSELL,Jesse WHITSELL,5:51.9355,Men,American, Canada,30th Jun 2002,Mont-Sainte-Anne
Lars TRIBUS,Lars TRIBUS,5:52.1356,Men,American, Canada,30th Jun 2002,Mont-Sainte-Anne
Stephane MAILHOT,Stephane MAILHOT,5:53.3457,Men,Canadian, Canada,30th Jun 2002,Mont-Sainte-Anne
Todd BOSCH,Todd BOSCH,5:53.6958,Men,American, Canada,30th Jun 2002,Mont-Sainte-Anne
Chad ONYSCHUK,Chad ONYSCHUK,5:54.3659,Men,Canadian, Canada,30th Jun 2002,Mont-Sainte-Anne
Jordie LUNN,Jordie LUNN,5:54.7860,Men,Canadian, Canada,30th Jun 2002,Mont-Sainte-Anne
Leon MAY,Leon MAY,5:54.9361,Men,Canadian, Canada,30th Jun 2002,Mont-Sainte-Anne
Brian ELLER,Brian ELLER,5:54.9962,Men,Canadian, Canada,30th Jun 2002,Mont-Sainte-Anne
Hugo DONAIS,Hugo DONAIS,5:56.3763,Men,Canadian, Canada,30th Jun 2002,Mont-Sainte-Anne
Ferran MARIAS SORRIBES,Ferran MARIAS SORRIBES,5:56.8864,Men,Spanish, Canada,30th Jun 2002,Mont-Sainte-Anne
William CORRY,William CORRY,5:56.9065,Men,Irish, Canada,30th Jun 2002,Mont-Sainte-Anne
David KLAASSEN VAN OORSCHOT,David KLAASSEN VAN OORSCHOT,5:57.9066,Men,American, Canada,30th Jun 2002,Mont-Sainte-Anne
Philip TINSTMAN,Philip TINSTMAN,5:58.1567,Men,American, Canada,30th Jun 2002,Mont-Sainte-Anne
Masashi TAKEMOTO,Masashi TAKEMOTO,6:02.9868,Men,Japanese, Canada,30th Jun 2002,Mont-Sainte-Anne
Kenichi NABESHIMA,Kenichi NABESHIMA,6:04.3369,Men,Japanese, Canada,30th Jun 2002,Mont-Sainte-Anne
Justin HAVUKAINEN,Justin HAVUKAINEN,6:04.7970,Men,Australian, Canada,30th Jun 2002,Mont-Sainte-Anne
Colin ROSS,Colin ROSS,6:05.0771,Men,Irish, Canada,30th Jun 2002,Mont-Sainte-Anne
James DODDS,James DODDS,6:06.5472,Men,New Zealand, Canada,30th Jun 2002,Mont-Sainte-Anne
Vincent MARCOTTE,Vincent MARCOTTE,6:08.6073,Men,Canadian, Canada,30th Jun 2002,Mont-Sainte-Anne
Luke STROM,Luke STROM,6:10.7374,Men,Australian, Canada,30th Jun 2002,Mont-Sainte-Anne
Kazuyuki MIYAKE,Kazuyuki MIYAKE,6:13.6075,Men,Japanese, Canada,30th Jun 2002,Mont-Sainte-Anne
Kyle EBBETT,Kyle EBBETT,6:21.2576,Men,American, Canada,30th Jun 2002,Mont-Sainte-Anne
Geritt BEYTAGH,Geritt BEYTAGH,6:33.9877,Men,American, Canada,30th Jun 2002,Mont-Sainte-Anne
Daniel AUERSWALD,Daniel AUERSWALD,6:44.4678,Men,German, Canada,30th Jun 2002,Mont-Sainte-Anne
Frank SCHNEIDER,Frank SCHNEIDER,8:03.4779,Men,German, Canada,30th Jun 2002,Mont-Sainte-Anne
Glenn HADEN,Glenn HADEN,DNF,Men,New Zealand, Canada,30th Jun 2002,Mont-Sainte-Anne
Jonathan TAYLOR,Jonathan TAYLOR,DNQ,Men,Australian, Canada,30th Jun 2002,Mont-Sainte-Anne
Shunsuke TERAMOTO,Shunsuke TERAMOTO,DNQ,Men,Japanese, Canada,30th Jun 2002,Mont-Sainte-Anne
Makoto IWATE,Makoto IWATE,DNQ,Men,Japanese, Canada,30th Jun 2002,Mont-Sainte-Anne
Frederic BELANGER,Frederic BELANGER,DNQ,Men,Canadian, Canada,30th Jun 2002,Mont-Sainte-Anne
Ivan OULEGO MORENO,Ivan OULEGO MORENO,DNQ,Men,Spanish, Canada,30th Jun 2002,Mont-Sainte-Anne
Marty MCGUIGAN,Marty MCGUIGAN,DNQ,Men,Irish, Canada,30th Jun 2002,Mont-Sainte-Anne
Joshua PRATER,Joshua PRATER,DNQ,Men,American, Canada,30th Jun 2002,Mont-Sainte-Anne
Anne-Caroline CHAUSSON,Anne-Caroline CHAUSSON,5:54.471,Women,French, Canada,30th Jun 2002,Mont-Sainte-Anne
Sabrina JONNIER,Sabrina JONNIER,5:56.292,Women,French, Canada,30th Jun 2002,Mont-Sainte-Anne
Tracy MOSELEY,Tracy MOSELEY,6:05.513,Women,British, Canada,30th Jun 2002,Mont-Sainte-Anne
Fionn GRIFFITHS,Fionn GRIFFITHS,6:08.934,Women,British, Canada,30th Jun 2002,Mont-Sainte-Anne
Marielle SANER,Marielle SANER,6:11.855,Women,Swiss, Canada,30th Jun 2002,Mont-Sainte-Anne
Marla STREB,Marla STREB,6:12.286,Women,American, Canada,30th Jun 2002,Mont-Sainte-Anne
Lisa SHER,Lisa SHER,6:15.327,Women,American, Canada,30th Jun 2002,Mont-Sainte-Anne
April LAWYER,April LAWYER,6:21.248,Women,American, Canada,30th Jun 2002,Mont-Sainte-Anne
