,Name,Name.1,Run 1,sex,rider_country,race_country,Date,track_name,rider_country_new,home_race,run_time,race_id,percent_time_back,best_results,worst_results
156,Oscar SAIZ,Oscar SAIZ,DNF,Men,Spanish,Germany,23rd Sep 1995,Kirchzarten,Spain,0,,Kirchzarten23rd Sep 1995,77.57079130485161,0,1
158,Leigh DONOVAN,Leigh DONOVAN,6:37.631,Women,American,Germany,23rd Sep 1995,Kirchzarten,USA,0,6.627183333333333,Kirchzarten23rd Sep 1995,0.0,1,0
159,Mercedes GONZALEZ,Mercedes GONZALEZ,6:46.032,Women,Spanish,Germany,23rd Sep 1995,Kirchzarten,Spain,0,6.7672,Kirchzarten23rd Sep 1995,2.1127628379075114,1,0
160,Giovanna BONAZZI,Giovanna BONAZZI,6:52.353,Women,Italian,Germany,23rd Sep 1995,Kirchzarten,Italy,0,6.87255,Kirchzarten23rd Sep 1995,3.702427627624627,1,0
161,Missy GIOVE,Missy GIOVE,6:54.784,Women,American,Germany,23rd Sep 1995,Kirchzarten,USA,0,6.9130666666666665,Kirchzarten23rd Sep 1995,4.31379847144715,0,0
163,Kim SONIER,Kim SONIER,6:57.946,Women,American,Germany,23rd Sep 1995,Kirchzarten,USA,0,6.965766666666667,Kirchzarten23rd Sep 1995,5.1090081004750765,0,0
164,Katja REPO,Katja REPO,6:58.727,Women,Finnish,Germany,23rd Sep 1995,Kirchzarten,Finland,0,6.978783333333333,Kirchzarten23rd Sep 1995,5.305421357992723,0,0
166,Marla STREB,Marla STREB,7:00.999,Women,American,Germany,23rd Sep 1995,Kirchzarten,USA,0,7.01665,Kirchzarten23rd Sep 1995,5.876805379862238,0,0
169,Elke BRUTSAERT,Elke BRUTSAERT,7:07.1112,Women,American,Germany,23rd Sep 1995,Kirchzarten,USA,0,7.11852,Kirchzarten23rd Sep 1995,7.4139591732033105,0,0
172,Lisa SHER,Lisa SHER,7:16.4915,Women,American,Germany,23rd Sep 1995,Kirchzarten,USA,0,7.274858333333333,Kirchzarten23rd Sep 1995,9.773005625818909,0,0
229,Malin LINDGREN,Malin LINDGREN,DNF,Women,Swedish,Germany,23rd Sep 1995,Kirchzarten,Sweden,0,,Kirchzarten23rd Sep 1995,29.727550390595002,0,1
