,Name,Name.1,Run 1,sex,rider_country,race_country,Date,track_name,rider_country_new,home_race,run_time,race_id,percent_time_back,best_results,worst_results
5995,Marc BEAUMONT,Marc BEAUMONT,5:47.6751,Men,British,Canada,30th Jun 2002,Mont-Sainte-Anne,UK,0,5.794585,Mont-Sainte-Anne30th Jun 2002,12.272411688533946,0,1
5996,Andy YOONG,Andy YOONG,5:50.4252,Men,Irish,Canada,30th Jun 2002,Mont-Sainte-Anne,UK,0,5.84042,Mont-Sainte-Anne30th Jun 2002,13.160483222516795,1,0
5997,Will LONGDEN,Will LONGDEN,5:50.6353,Men,British,Canada,30th Jun 2002,Mont-Sainte-Anne,UK,0,5.843921666666667,Mont-Sainte-Anne30th Jun 2002,13.22832942057861,0,0
6012,Masashi TAKEMOTO,Masashi TAKEMOTO,6:02.9868,Men,Japanese,Canada,30th Jun 2002,Mont-Sainte-Anne,Japan,0,6.04978,Mont-Sainte-Anne30th Jun 2002,17.216917309015045,0,0
6014,Justin HAVUKAINEN,Justin HAVUKAINEN,6:04.7970,Men,Australian,Canada,30th Jun 2002,Mont-Sainte-Anne,Australia,0,6.07995,Mont-Sainte-Anne30th Jun 2002,17.80147317637104,0,1
6023,Frank SCHNEIDER,Frank SCHNEIDER,8:03.4779,Men,German,Canada,30th Jun 2002,Mont-Sainte-Anne,Germany,0,8.057965,Mont-Sainte-Anne30th Jun 2002,56.12630824326461,0,1
6029,Ivan OULEGO MORENO,Ivan OULEGO MORENO,DNQ,Men,Spanish,Canada,30th Jun 2002,Mont-Sainte-Anne,Spain,0,,Mont-Sainte-Anne30th Jun 2002,233.95612241255336,0,1
6032,Anne-Caroline CHAUSSON,Anne-Caroline CHAUSSON,5:54.471,Women,French,Canada,30th Jun 2002,Mont-Sainte-Anne,France,0,5.90785,Mont-Sainte-Anne30th Jun 2002,0.0,1,1
6033,Sabrina JONNIER,Sabrina JONNIER,5:56.292,Women,French,Canada,30th Jun 2002,Mont-Sainte-Anne,France,0,5.9382,Mont-Sainte-Anne30th Jun 2002,0.5137232665013647,0,0
6034,Tracy MOSELEY,Tracy MOSELEY,6:05.513,Women,British,Canada,30th Jun 2002,Mont-Sainte-Anne,UK,0,6.0918833333333335,Mont-Sainte-Anne30th Jun 2002,3.1150644199384514,0,0
6035,Fionn GRIFFITHS,Fionn GRIFFITHS,6:08.934,Women,British,Canada,30th Jun 2002,Mont-Sainte-Anne,UK,0,6.1489,Mont-Sainte-Anne30th Jun 2002,4.080164526858332,1,0
6036,Marielle SANER,Marielle SANER,6:11.855,Women,Swiss,Canada,30th Jun 2002,Mont-Sainte-Anne,Switzerland,0,6.197583333333333,Mont-Sainte-Anne30th Jun 2002,4.904209371147439,0,0
6037,Marla STREB,Marla STREB,6:12.286,Women,American,Canada,30th Jun 2002,Mont-Sainte-Anne,USA,0,6.204766666666667,Mont-Sainte-Anne30th Jun 2002,5.02579900753517,0,0
6038,Lisa SHER,Lisa SHER,6:15.327,Women,American,Canada,30th Jun 2002,Mont-Sainte-Anne,USA,0,6.25545,Mont-Sainte-Anne30th Jun 2002,5.883697114855657,1,0
6039,April LAWYER,April LAWYER,6:21.248,Women,American,Canada,30th Jun 2002,Mont-Sainte-Anne,USA,0,6.354133333333333,Mont-Sainte-Anne30th Jun 2002,7.554073534929517,1,0
6040,Mio SUEMASA,Mio SUEMASA,6:23.189,Women,Japanese,Canada,30th Jun 2002,Mont-Sainte-Anne,Japan,0,6.3864833333333335,Mont-Sainte-Anne30th Jun 2002,8.101650064462262,0,0
6041,Vanessa QUIN,Vanessa QUIN,6:23.2710,Women,New Zealand,Canada,30th Jun 2002,Mont-Sainte-Anne,New Zealand,0,6.38785,Mont-Sainte-Anne30th Jun 2002,8.124783127533707,0,0
6042,Kathy PRUITT,Kathy PRUITT,6:31.8111,Women,American,Canada,30th Jun 2002,Mont-Sainte-Anne,USA,0,6.530185,Mont-Sainte-Anne30th Jun 2002,10.534035224320192,0,1
6043,Missy GIOVE,Missy GIOVE,6:31.9312,Women,American,Canada,30th Jun 2002,Mont-Sainte-Anne,USA,0,6.532186666666667,Mont-Sainte-Anne30th Jun 2002,10.567916698404112,0,1
6044,Céline GROS,Céline GROS,6:36.5513,Women,French,Canada,30th Jun 2002,Mont-Sainte-Anne,France,0,6.609188333333333,Mont-Sainte-Anne30th Jun 2002,11.87129553616515,0,0
6046,Arnelie THÉVOZ,Arnelie THÉVOZ,6:37.8715,Women,Swiss,Canada,30th Jun 2002,Mont-Sainte-Anne,Switzerland,0,6.631191666666666,Mont-Sainte-Anne30th Jun 2002,12.2437378516155,0,0
6047,Melissa BUHL,Melissa BUHL,6:41.2516,Women,American,Canada,30th Jun 2002,Mont-Sainte-Anne,USA,0,6.687526666666667,Mont-Sainte-Anne30th Jun 2002,13.197299638052208,0,0
6048,Helen GASKELL,Helen GASKELL,6:46.0517,Women,British,Canada,30th Jun 2002,Mont-Sainte-Anne,UK,0,6.767528333333333,Mont-Sainte-Anne30th Jun 2002,14.551458370360336,0,1
6049,Sandra WALKER,Sandra WALKER,6:47.6718,Women,Swiss,Canada,30th Jun 2002,Mont-Sainte-Anne,Switzerland,0,6.79453,Mont-Sainte-Anne30th Jun 2002,15.008505632336643,0,0
6051,Anneke BEERTEN,Anneke BEERTEN,6:57.5320,Women,Dutch,Canada,30th Jun 2002,Mont-Sainte-Anne,Netherlands,0,6.958866666666666,Mont-Sainte-Anne30th Jun 2002,17.79017183352094,0,0
6052,Pascaline REUSSER,Pascaline REUSSER,7:01.5621,Women,Swiss,Canada,30th Jun 2002,Mont-Sainte-Anne,Switzerland,0,7.026035,Mont-Sainte-Anne30th Jun 2002,18.927105461377657,0,0
6053,Nolvenn LE CAER,Nolvenn LE CAER,7:04.2422,Women,French,Canada,30th Jun 2002,Mont-Sainte-Anne,France,0,7.070703333333333,Mont-Sainte-Anne30th Jun 2002,19.683189880131245,0,1
6054,Diana MARGGRAFF,Diana MARGGRAFF,7:13.8023,Women,Ecuadorian,Canada,30th Jun 2002,Mont-Sainte-Anne,Ecuador,0,7.230038333333333,Mont-Sainte-Anne30th Jun 2002,22.38019471268453,0,0
6055,Mami MASUDA,Mami MASUDA,7:15.8324,Women,Japanese,Canada,30th Jun 2002,Mont-Sainte-Anne,Japan,0,7.263873333333334,Mont-Sainte-Anne30th Jun 2002,22.95290729001809,0,0
6059,Chris KOVARIK,Chris KOVARIK,2:57.781,Men,Australian,Slovenia,9th Jun 2002,Maribor,Australia,0,2.9630166666666664,Maribor9th Jun 2002,0.0,1,0
6060,Steve PEAT,Steve PEAT,2:57.792,Men,British,Slovenia,9th Jun 2002,Maribor,UK,0,2.9632,Maribor9th Jun 2002,0.0061873878536067295,1,0
6061,Fabien BAREL,Fabien BAREL,2:59.053,Men,French,Slovenia,9th Jun 2002,Maribor,France,0,2.9842166666666667,Maribor9th Jun 2002,0.715487031797557,1,0
6062,Nicolas VOUILLOZ,Nicolas VOUILLOZ,2:59.424,Men,French,Slovenia,9th Jun 2002,Maribor,France,0,2.9904,Maribor9th Jun 2002,0.9241707494051843,0,0
6063,Mickael PASCAL,Mickael PASCAL,3:01.195,Men,French,Slovenia,9th Jun 2002,Maribor,France,0,3.0199166666666666,Maribor9th Jun 2002,1.9203401938340026,1,0
6064,Ivan OULEGO MORENO,Ivan OULEGO MORENO,3:03.446,Men,Spanish,Slovenia,9th Jun 2002,Maribor,Spain,0,3.0574333333333334,Maribor9th Jun 2002,3.186504744601515,1,0
6065,Cédric GRACIA,Cédric GRACIA,3:03.927,Men,French,Slovenia,9th Jun 2002,Maribor,France,0,3.06545,Maribor9th Jun 2002,3.4570623407450762,0,0
6066,Mick HANNAH,Mick HANNAH,3:04.648,Men,Australian,Slovenia,9th Jun 2002,Maribor,Australia,0,3.0774666666666666,Maribor9th Jun 2002,3.862617490058007,0,0
6067,Cesar ROJO VIDAL,Cesar ROJO VIDAL,3:06.759,Men,Spanish,Slovenia,9th Jun 2002,Maribor,Spain,0,3.11265,Maribor9th Jun 2002,5.050033468143389,0,0
6068,Julien POOMANS,Julien POOMANS,3:07.8610,Men,French,Slovenia,9th Jun 2002,Maribor,France,0,3.1310166666666666,Maribor9th Jun 2002,5.669897233112664,1,0
6069,Greg MINNAAR,Greg MINNAAR,3:07.8711,Men,South African,Slovenia,9th Jun 2002,Maribor,South Africa,0,3.131185,Maribor9th Jun 2002,5.675578380141855,0,1
6070,Claudio CALUORI,Claudio CALUORI,3:08.7212,Men,Swiss,Slovenia,9th Jun 2002,Maribor,Switzerland,0,3.1453533333333334,Maribor9th Jun 2002,6.153750963263804,0,0
6071,Crawford CARRICK-ANDERSON,Crawford CARRICK-ANDERSON,3:09.1413,Men,British,Slovenia,9th Jun 2002,Maribor,UK,0,3.152355,Maribor9th Jun 2002,6.390052930290646,0,0
6072,Oscar SAIZ,Oscar SAIZ,3:09.1514,Men,Spanish,Slovenia,9th Jun 2002,Maribor,Spain,0,3.1525233333333333,Maribor9th Jun 2002,6.395734077319859,0,0
6073,Cyril LAGNEAU,Cyril LAGNEAU,3:09.2015,Men,French,Slovenia,9th Jun 2002,Maribor,France,0,3.1533583333333333,Maribor9th Jun 2002,6.423914816543963,0,0
6074,David VAZQUEZ LOPEZ,David VAZQUEZ LOPEZ,3:09.3416,Men,Spanish,Slovenia,9th Jun 2002,Maribor,Spain,0,3.1556933333333332,Maribor9th Jun 2002,6.502719638206567,0,1
6075,Matti LEHIKOINEN,Matti LEHIKOINEN,3:09.6217,Men,Finnish,Slovenia,9th Jun 2002,Maribor,Finland,0,3.1603616666666667,Maribor9th Jun 2002,6.6602730325513,0,0
6076,Marcus KLAUSMANN,Marcus KLAUSMANN,3:10.6718,Men,German,Slovenia,9th Jun 2002,Maribor,Germany,0,3.1778633333333333,Maribor9th Jun 2002,7.250943576647684,0,0
6077,Nigel PAGE,Nigel PAGE,3:11.1119,Men,British,Slovenia,9th Jun 2002,Maribor,UK,0,3.185198333333333,Maribor9th Jun 2002,7.49849533977196,0,0
6078,Sean MCCARROLL,Sean MCCARROLL,3:11.7120,Men,Australian,Slovenia,9th Jun 2002,Maribor,Australia,0,3.1952,Maribor9th Jun 2002,7.836045471675823,0,0
6079,Gee ATHERTON,Gee ATHERTON,3:12.3621,Men,British,Slovenia,9th Jun 2002,Maribor,UK,0,3.206035,Maribor9th Jun 2002,8.201720093823317,0,1
6080,Michal MAROŠI (1978),Michal MAROŠI (1978),3:12.3621,Men,Czech,Slovenia,9th Jun 2002,Maribor,Czech Republic,0,3.206035,Maribor9th Jun 2002,8.201720093823317,0,0
6081,Bernat GUÀRDIA PASCUAL,Bernat GUÀRDIA PASCUAL,3:12.3823,Men,Spanish,Slovenia,9th Jun 2002,Maribor,Spain,0,3.2063716666666666,Maribor9th Jun 2002,8.21308238788172,0,0
6082,Thomas RYSER,Thomas RYSER,3:12.4624,Men,Swiss,Slovenia,9th Jun 2002,Maribor,Switzerland,0,3.2077066666666667,Maribor9th Jun 2002,8.258137821252,0,0
6083,Markolf BERCHTOLD,Markolf BERCHTOLD,3:13.1825,Men,Brazilian,Slovenia,9th Jun 2002,Maribor,Brazil,0,3.219708333333333,Maribor9th Jun 2002,8.663186729740534,0,0
6084,Adam VAGNER,Adam VAGNER,3:13.4626,Men,Czech,Slovenia,9th Jun 2002,Maribor,Czech Republic,0,3.2243766666666667,Maribor9th Jun 2002,8.820740124085269,0,0
6085,David WARDELL,David WARDELL,3:13.5527,Men,British,Slovenia,9th Jun 2002,Maribor,UK,0,3.225878333333333,Maribor9th Jun 2002,8.871420455504243,0,0
6086,John KIRKCALDIE,John KIRKCALDIE,3:13.6228,Men,New Zealand,Slovenia,9th Jun 2002,Maribor,New Zealand,0,3.227046666666667,Maribor9th Jun 2002,8.910850990825804,0,0
6088,Rob WARNER,Rob WARNER,3:14.1230,Men,British,Slovenia,9th Jun 2002,Maribor,UK,0,3.2353833333333335,Maribor9th Jun 2002,9.192208391222923,0,0
6090,Marc BEAUMONT,Marc BEAUMONT,3:14.9932,Men,British,Slovenia,9th Jun 2002,Maribor,UK,0,3.249886666666667,Maribor9th Jun 2002,9.68168701942278,0,1
6092,Andreas STEFFEN,Andreas STEFFEN,3:15.9134,Men,Swiss,Slovenia,9th Jun 2002,Maribor,Switzerland,0,3.265223333333333,Maribor9th Jun 2002,10.199290137866246,0,0
6094,Rene WILDHABER,Rene WILDHABER,3:16.5636,Men,Swiss,Slovenia,9th Jun 2002,Maribor,Switzerland,0,3.27606,Maribor9th Jun 2002,10.565021008994236,0,0
6095,Stu THOMSON,Stu THOMSON,3:16.6437,Men,British,Slovenia,9th Jun 2002,Maribor,UK,0,3.277395,Maribor9th Jun 2002,10.610076442364491,0,0
6097,Bruno ZANCHI,Bruno ZANCHI,3:17.5639,Men,Italian,Slovenia,9th Jun 2002,Maribor,Italy,0,3.2927316666666666,Maribor9th Jun 2002,11.127679560807957,0,0
6098,Corrado HERIN,Corrado HERIN,3:17.6740,Men,Italian,Slovenia,9th Jun 2002,Maribor,Italy,0,3.2945666666666664,Maribor9th Jun 2002,11.18960968832441,0,1
6099,Karim AMOUR,Karim AMOUR,3:17.8941,Men,French,Slovenia,9th Jun 2002,Maribor,France,0,3.298235,Maribor9th Jun 2002,11.313413694376795,0,0
6100,Bas DE BEVER,Bas DE BEVER,3:17.9842,Men,Dutch,Slovenia,9th Jun 2002,Maribor,Netherlands,0,3.2997366666666665,Maribor9th Jun 2002,11.36409402579579,0,1
6101,Will LONGDEN,Will LONGDEN,3:19.4243,Men,British,Slovenia,9th Jun 2002,Maribor,UK,0,3.3237383333333335,Maribor9th Jun 2002,12.174135593792368,0,0
6102,Vlastimil HYNCICA,Vlastimil HYNCICA,3:19.4944,Men,Czech,Slovenia,9th Jun 2002,Maribor,Czech Republic,0,3.3249066666666667,Maribor9th Jun 2002,12.213566129113929,0,0
6103,Scott BEAUMONT,Scott BEAUMONT,3:19.7145,Men,British,Slovenia,9th Jun 2002,Maribor,UK,0,3.328575,Maribor9th Jun 2002,12.337370135166314,0,0
6104,Wilfred VAN DE HATERD,Wilfred VAN DE HATERD,3:19.7145,Men,Dutch,Slovenia,9th Jun 2002,Maribor,Netherlands,0,3.328575,Maribor9th Jun 2002,12.337370135166314,0,0
6106,Filip POLC,Filip POLC,3:19.8848,Men,Slovakian,Slovenia,9th Jun 2002,Maribor,Slovenia,1,3.3314133333333333,Maribor9th Jun 2002,12.433162148936061,0,0
6107,Espen JOHNSEN,Espen JOHNSEN,3:20.7549,Men,Norwegian,Slovenia,9th Jun 2002,Maribor,Norway,0,3.3459149999999998,Maribor9th Jun 2002,12.922584528155422,0,0
6108,Damien MERMOUD,Damien MERMOUD,3:20.8450,Men,Swiss,Slovenia,9th Jun 2002,Maribor,Switzerland,0,3.3474166666666667,Maribor9th Jun 2002,12.97326485957444,0,0
6109,Gertje THOLEN,Gertje THOLEN,3:20.8951,Men,Dutch,Slovenia,9th Jun 2002,Maribor,Netherlands,0,3.3482516666666666,Maribor9th Jun 2002,13.001445598798522,0,0
6110,Pasqual CANALS FLIX,Pasqual CANALS FLIX,3:22.3052,Men,Spanish,Slovenia,9th Jun 2002,Maribor,Spain,0,3.3717533333333334,Maribor9th Jun 2002,13.794612472648948,0,0
6111,Guido TSCHUGG,Guido TSCHUGG,3:22.8053,Men,German,Slovenia,9th Jun 2002,Maribor,Germany,0,3.380088333333333,Maribor9th Jun 2002,14.075913624065572,0,0
6112,Jorge AGUIN CASTRO,Jorge AGUIN CASTRO,3:24.1854,Men,Spanish,Slovenia,9th Jun 2002,Maribor,Spain,0,3.40309,Maribor9th Jun 2002,14.852205803769824,0,0
6116,Kirt VOREIS,Kirt VOREIS,3:26.5958,Men,American,Slovenia,9th Jun 2002,Maribor,USA,0,3.4432633333333333,Maribor9th Jun 2002,16.20803122943397,0,1
6117,Michael GÖLLES,Michael GÖLLES,3:27.7259,Men,Austrian,Slovenia,9th Jun 2002,Maribor,Austria,0,3.4620983333333335,Maribor9th Jun 2002,16.84370095792016,0,0
6119,Mickael DELDYCKE,Mickael DELDYCKE,3:28.4661,Men,French,Slovenia,9th Jun 2002,Maribor,France,0,3.474435,Maribor9th Jun 2002,17.260055911486628,0,0
6121,Naoki IDEGAWA,Naoki IDEGAWA,3:29.9063,Men,Japanese,Slovenia,9th Jun 2002,Maribor,Japan,0,3.4984383333333335,Maribor9th Jun 2002,18.07015372846368,0,0
6122,Glyn O'BRIEN,Glyn O'BRIEN,3:30.0264,Men,Irish,Slovenia,9th Jun 2002,Maribor,UK,0,3.50044,Maribor9th Jun 2002,18.137708754028846,0,0
6123,Nico VINK,Nico VINK,3:30.0865,Men,Belgian,Slovenia,9th Jun 2002,Maribor,Belgium,0,3.5014416666666666,Maribor9th Jun 2002,18.17151439130167,0,0
6125,Frank SCHNEIDER,Frank SCHNEIDER,3:30.3867,Men,German,Slovenia,9th Jun 2002,Maribor,Germany,0,3.5064450000000003,Maribor9th Jun 2002,18.34037383072433,0,0
6130,John LAWLOR,John LAWLOR,3:31.5671,Men,Irish,Slovenia,9th Jun 2002,Maribor,UK,0,3.5261183333333332,Maribor9th Jun 2002,19.00433679639557,0,0
6133,Masashi TAKEMOTO,Masashi TAKEMOTO,3:34.9975,Men,Japanese,Slovenia,9th Jun 2002,Maribor,Japan,0,3.5832916666666668,Maribor9th Jun 2002,20.933901823029476,0,0
6137,Himar SANCHEZ SALMINEN,Himar SANCHEZ SALMINEN,DNF,Men,Spanish,Slovenia,9th Jun 2002,Maribor,Spain,0,,Maribor9th Jun 2002,61.061853935162766,0,1
6140,Dan ATHERTON,Dan ATHERTON,DNQ,Men,British,Slovenia,9th Jun 2002,Maribor,UK,0,,Maribor9th Jun 2002,134.09748305487196,0,1
6141,Herman ÖLUND,Herman ÖLUND,DNQ,Men,Swedish,Slovenia,9th Jun 2002,Maribor,Sweden,0,,Maribor9th Jun 2002,24.901063502403975,0,1
6142,Samuel ZBINDEN,Samuel ZBINDEN,DNQ,Men,Swiss,Slovenia,9th Jun 2002,Maribor,Switzerland,0,,Maribor9th Jun 2002,32.96343797732677,0,1
6143,Kristof LENSSENS,Kristof LENSSENS,DNQ,Men,Belgian,Slovenia,9th Jun 2002,Maribor,Belgium,0,,Maribor9th Jun 2002,24.237228128957856,1,1
6147,Jordi BAGO,Jordi BAGO,DNQ,Men,Spanish,Slovenia,9th Jun 2002,Maribor,Spain,0,,Maribor9th Jun 2002,23.554161843939635,0,1
6149,Rüdiger JAHNEL,Rüdiger JAHNEL,DNQ,Men,Austrian,Slovenia,9th Jun 2002,Maribor,Austria,0,,Maribor9th Jun 2002,39.807978951946986,0,1
6160,Markus PETSCHENIG,Markus PETSCHENIG,DNQ,Men,Austrian,Slovenia,9th Jun 2002,Maribor,Austria,0,,Maribor9th Jun 2002,27.235704331148234,0,1
6196,Nathan RENNIE,Nathan RENNIE,DNQ,Men,Australian,Slovenia,9th Jun 2002,Maribor,Australia,0,,Maribor9th Jun 2002,258.29004174272694,0,1
6199,Mathias HAAS,Mathias HAAS,DNQ,Men,Austrian,Slovenia,9th Jun 2002,Maribor,Austria,0,,Maribor9th Jun 2002,78.0399563410482,0,1
6202,Kamil TATARKOVIC,Kamil TATARKOVIC,DNQ,Men,Czech,Slovenia,9th Jun 2002,Maribor,Czech Republic,0,,Maribor9th Jun 2002,20.62730627306273,0,1
6204,Anne-Caroline CHAUSSON,Anne-Caroline CHAUSSON,3:30.111,Women,French,Slovenia,9th Jun 2002,Maribor,France,0,3.50185,Maribor9th Jun 2002,0.0,1,1
6205,Sabrina JONNIER,Sabrina JONNIER,3:39.282,Women,French,Slovenia,9th Jun 2002,Maribor,France,0,3.6547,Maribor9th Jun 2002,4.364835729685734,0,0
6206,Petra BERNHARD,Petra BERNHARD,3:39.353,Women,Austrian,Slovenia,9th Jun 2002,Maribor,Austria,0,3.6558833333333336,Maribor9th Jun 2002,4.398627392187948,1,0
6207,Anita MOLCIK,Anita MOLCIK,3:41.014,Women,Austrian,Slovenia,9th Jun 2002,Maribor,Austria,0,3.6835666666666667,Maribor9th Jun 2002,5.189161919176044,1,0
6208,Céline GROS,Céline GROS,3:42.145,Women,French,Slovenia,9th Jun 2002,Maribor,France,0,3.7024166666666667,Maribor9th Jun 2002,5.727448824668868,0,0
6209,Miriam BLAS OTONDO,Miriam BLAS OTONDO,3:42.406,Women,Spanish,Slovenia,9th Jun 2002,Maribor,Spain,0,3.7067666666666668,Maribor9th Jun 2002,5.85166887978259,1,0
6210,Vanessa QUIN,Vanessa QUIN,3:46.627,Women,New Zealand,Slovenia,9th Jun 2002,Maribor,New Zealand,0,3.7771166666666667,Maribor9th Jun 2002,7.860607012483878,0,0
6211,Sandra WALKER,Sandra WALKER,3:46.738,Women,Swiss,Slovenia,9th Jun 2002,Maribor,Switzerland,0,3.778966666666667,Maribor9th Jun 2002,7.913436231325344,1,0
6212,Tracy MOSELEY,Tracy MOSELEY,3:48.029,Women,British,Slovenia,9th Jun 2002,Maribor,UK,0,3.800483333333333,Maribor9th Jun 2002,8.527873362175221,0,1
6213,Kathy PRUITT,Kathy PRUITT,3:48.0310,Women,American,Slovenia,9th Jun 2002,Maribor,USA,0,3.8005166666666668,Maribor9th Jun 2002,8.528825239992187,0,0
6214,Emmeline RAGOT,Emmeline RAGOT,3:48.1211,Women,French,Slovenia,9th Jun 2002,Maribor,France,0,3.8020183333333333,Maribor9th Jun 2002,8.571707335646384,0,1
6215,Marielle SANER,Marielle SANER,3:49.0012,Women,Swiss,Slovenia,9th Jun 2002,Maribor,Switzerland,0,3.8166866666666666,Maribor9th Jun 2002,8.990581169001132,0,1
6216,Nolvenn LE CAER,Nolvenn LE CAER,3:51.2413,Women,French,Slovenia,9th Jun 2002,Maribor,France,0,3.8540216666666667,Maribor9th Jun 2002,10.056731917891026,0,0
6217,Melissa BUHL,Melissa BUHL,3:51.5714,Women,American,Slovenia,9th Jun 2002,Maribor,USA,0,3.859523333333333,Maribor9th Jun 2002,10.213839351580823,0,0
6219,Pascaline REUSSER,Pascaline REUSSER,3:52.3816,Women,Swiss,Slovenia,9th Jun 2002,Maribor,Switzerland,0,3.8730266666666666,Maribor9th Jun 2002,10.599445055232714,1,0
6220,Mio SUEMASA,Mio SUEMASA,3:52.5717,Women,Japanese,Slovenia,9th Jun 2002,Maribor,Japan,0,3.876195,Maribor9th Jun 2002,10.689921041735072,0,1
6221,Fionn GRIFFITHS,Fionn GRIFFITHS,3:57.3218,Women,British,Slovenia,9th Jun 2002,Maribor,UK,0,3.9553633333333336,Maribor9th Jun 2002,12.950678450914044,0,0
6222,Mami MASUDA,Mami MASUDA,3:57.9719,Women,Japanese,Slovenia,9th Jun 2002,Maribor,Japan,0,3.9661983333333333,Maribor9th Jun 2002,13.26008633531799,1,0
6223,Sarah STIEGER,Sarah STIEGER,4:00.9720,Women,Swiss,Slovenia,9th Jun 2002,Maribor,Switzerland,0,4.0162,Maribor9th Jun 2002,14.687950654653982,0,1
6224,Helen GASKELL,Helen GASKELL,4:01.5321,Women,British,Slovenia,9th Jun 2002,Maribor,UK,0,4.025535,Maribor9th Jun 2002,14.954524037294558,0,1
6225,Bernardita PIZARRO,Bernardita PIZARRO,4:01.7622,Women,Chilean,Slovenia,9th Jun 2002,Maribor,Chile,0,4.02937,Maribor9th Jun 2002,15.064037580136214,0,1
6226,Diana MARGGRAFF,Diana MARGGRAFF,4:05.3223,Women,Ecuadorian,Slovenia,9th Jun 2002,Maribor,Ecuador,0,4.088705,Maribor9th Jun 2002,16.758427688221932,0,0
6228,Violeta JANEIRO ALFAGEME,Violeta JANEIRO ALFAGEME,4:05.6525,Women,Spanish,Slovenia,9th Jun 2002,Maribor,Spain,0,4.0942083333333334,Maribor9th Jun 2002,16.9155827158026,1,0
6229,Missy GIOVE,Missy GIOVE,4:07.4126,Women,American,Slovenia,9th Jun 2002,Maribor,USA,0,4.123543333333333,Maribor9th Jun 2002,17.75328278862125,0,1
6230,April LAWYER,April LAWYER,4:08.6527,Women,American,Slovenia,9th Jun 2002,Maribor,USA,0,4.144211666666667,Maribor9th Jun 2002,18.343494629029422,0,1
6232,Daniela BOSSARD,Daniela BOSSARD,4:10.9629,Women,Swiss,Slovenia,9th Jun 2002,Maribor,Switzerland,0,4.182715,Maribor9th Jun 2002,19.44300869540385,0,0
6233,Anneke BEERTEN,Anneke BEERTEN,4:25.6630,Women,Dutch,Slovenia,9th Jun 2002,Maribor,Netherlands,0,4.427716666666667,Maribor9th Jun 2002,26.439358243975807,0,1
6235,Helene Valerie FRUHWIRTH,Helene Valerie FRUHWIRTH,DNQ,Women,Austrian,Slovenia,9th Jun 2002,Maribor,Austria,0,,Maribor9th Jun 2002,47.45575563146478,0,1
6237,Jaymie MART,Jaymie MART,DNQ,Women,Barbadian,Slovenia,9th Jun 2002,Maribor,Barbados,0,,Maribor9th Jun 2002,47.41348367928722,0,1
6238,Helena BOSKOVA,Helena BOSKOVA,DNQ,Women,Slovakian,Slovenia,9th Jun 2002,Maribor,Slovenia,1,,Maribor9th Jun 2002,87.56546813905646,0,1
6241,Chris KOVARIK,Chris KOVARIK,4:33.981,Men,Australian,UK,2nd Jun 2002,Fort William,Australia,0,4.56635,Fort William2nd Jun 2002,0.0,1,0
6242,Cédric GRACIA,Cédric GRACIA,4:48.002,Men,French,UK,2nd Jun 2002,Fort William,France,0,4.800033333333333,Fort William2nd Jun 2002,5.1175081483752605,0,0
6243,Nathan RENNIE,Nathan RENNIE,4:48.002,Men,Australian,UK,2nd Jun 2002,Fort William,Australia,0,4.800033333333333,Fort William2nd Jun 2002,5.1175081483752605,0,0
6244,Nicolas VOUILLOZ,Nicolas VOUILLOZ,4:50.364,Men,French,UK,2nd Jun 2002,Fort William,France,0,4.8393999999999995,Fort William2nd Jun 2002,5.979611724900624,0,1
6245,Mickael PASCAL,Mickael PASCAL,4:51.445,Men,French,UK,2nd Jun 2002,Fort William,France,0,4.8574166666666665,Fort William2nd Jun 2002,6.374164631854029,0,1
6246,Fabien BAREL,Fabien BAREL,4:52.726,Men,French,UK,2nd Jun 2002,Fort William,France,0,4.8787666666666665,Fort William2nd Jun 2002,6.84171530142601,0,0
6247,Mick HANNAH,Mick HANNAH,4:54.407,Men,Australian,UK,2nd Jun 2002,Fort William,Australia,0,4.906783333333333,Fort William2nd Jun 2002,7.455261496235144,0,0
6248,John KIRKCALDIE,John KIRKCALDIE,4:54.728,Men,New Zealand,UK,2nd Jun 2002,Fort William,New Zealand,0,4.912133333333333,Fort William2nd Jun 2002,7.572422905237963,0,0
6249,Kirt VOREIS,Kirt VOREIS,4:55.039,Men,American,UK,2nd Jun 2002,Fort William,USA,0,4.917316666666666,Fort William2nd Jun 2002,7.685934426109831,0,0
6250,Nigel PAGE,Nigel PAGE,4:55.6110,Men,British,UK,2nd Jun 2002,Fort William,UK,1,4.92685,Fort William2nd Jun 2002,7.89470802719896,0,0
6251,David VAZQUEZ LOPEZ,David VAZQUEZ LOPEZ,4:55.7211,Men,Spanish,UK,2nd Jun 2002,Fort William,Spain,0,4.928685,Fort William2nd Jun 2002,7.934893295520484,0,1
6252,Cesar ROJO VIDAL,Cesar ROJO VIDAL,4:56.4112,Men,Spanish,UK,2nd Jun 2002,Fort William,Spain,0,4.9401866666666665,Fort William2nd Jun 2002,8.186772075435877,0,0
6253,Bas DE BEVER,Bas DE BEVER,5:00.3113,Men,Dutch,UK,2nd Jun 2002,Fort William,Netherlands,0,5.005188333333333,Fort William2nd Jun 2002,9.61026494537942,0,0
6254,Oscar SAIZ,Oscar SAIZ,5:02.8914,Men,Spanish,UK,2nd Jun 2002,Fort William,Spain,0,5.04819,Fort William2nd Jun 2002,10.55197258204037,0,1
